market,feature_set,model,planned_runs,completed_runs,failed_runs,running_runs,planned_pending_runs,skipped_runs,divergence_count,divergence_rate,completion_state
canada_tsx,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
canada_tsx,close,dnfs,3,3,0,0,0,3,0,0.0,complete
canada_tsx,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
canada_tsx,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete
canada_tsx,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
canada_tsx,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete
canada_tsx,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete
canada_tsx,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
canada_tsx,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete
canada_tsx,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
france_cac40,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
france_cac40,close,dnfs,3,3,0,0,0,3,0,0.0,complete
france_cac40,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
france_cac40,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete
france_cac40,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
france_cac40,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete
france_cac40,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete
france_cac40,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
france_cac40,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete
france_cac40,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
germany_dax,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
germany_dax,close,dnfs,3,3,0,0,0,3,0,0.0,complete
germany_dax,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
germany_dax,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete
germany_dax,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
germany_dax,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete
germany_dax,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete
germany_dax,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
germany_dax,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete
germany_dax,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
italy_ftse_mib,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,close,dnfs,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
italy_ftse_mib,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
italy_ftse_mib,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
italy_ftse_mib,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete
italy_ftse_mib,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
japan_nikkei225,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,close,dnfs,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
japan_nikkei225,close,lstm_gru,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
japan_nikkei225,indicators,cnn1d,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,indicators,dnfs,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
japan_nikkei225,indicators,lstm_gru,3,3,0,0,0,3,0,0.0,complete
japan_nikkei225,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
uk_ftse100,close,cnn1d,3,3,0,0,0,3,0,0.0,complete
uk_ftse100,close,dnfs,3,3,0,0,0,0,0,0.0,complete
uk_ftse100,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
uk_ftse100,close,lstm_gru,3,3,0,0,0,0,0,0.0,complete
uk_ftse100,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
uk_ftse100,indicators,cnn1d,3,3,0,0,0,2,0,0.0,complete
uk_ftse100,indicators,dnfs,3,3,0,0,0,0,0,0.0,complete
uk_ftse100,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
uk_ftse100,indicators,lstm_gru,3,3,0,0,0,0,0,0.0,complete
uk_ftse100,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
us_sp500,close,cnn1d,3,3,0,0,0,0,0,0.0,complete
us_sp500,close,dnfs,3,3,0,0,0,0,0,0.0,complete
us_sp500,close,linear_regression,1,1,0,0,0,1,0,0.0,complete
us_sp500,close,lstm_gru,3,3,0,0,0,0,0,0.0,complete
us_sp500,close,naive_persistence,1,1,0,0,0,1,0,0.0,complete
us_sp500,indicators,cnn1d,3,3,0,0,0,0,0,0.0,complete
us_sp500,indicators,dnfs,3,3,0,0,0,0,0,0.0,complete
us_sp500,indicators,linear_regression,1,1,0,0,0,1,0,0.0,complete
us_sp500,indicators,lstm_gru,3,3,0,0,0,0,0,0.0,complete
us_sp500,indicators,naive_persistence,1,1,0,0,0,1,0,0.0,complete
