market,model,seeds,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,rmse_delta_pct_mean,rmse_delta_pct_std
canada_tsx,cnn1d,3,-11.748285003608425,3.047300635610659,-15.172476496502915,2.7179715270144276
canada_tsx,dnfs,3,-10.342785760831035,3.426845590528093,-8.13941184010753,1.2946927759037687
canada_tsx,naive_persistence,1,0.0,,0.0,
canada_tsx,lstm_gru,3,1.1096285419740501,4.223834306855344,0.5300940469974658,3.0755889914660752
canada_tsx,linear_regression,1,8.511258803685815,,8.326926937898172,
france_cac40,cnn1d,3,-1.9438789005262513,5.893945365672995,-1.493691921502169,5.587104022168671
france_cac40,dnfs,3,-1.0820385384563245,0.30174785158525247,-1.1433236058256602,0.3294218219074099
france_cac40,linear_regression,1,-0.4646390852593093,,-0.5411802970870618,
france_cac40,naive_persistence,1,0.0,,0.0,
france_cac40,lstm_gru,3,3.481418811733157,2.243832275432573,3.4439032829928315,2.1371633935162557
germany_dax,dnfs,3,-3.8060924176711595,6.287329916785103,-3.610467198091589,6.185301101191172
germany_dax,cnn1d,3,-0.06141562733251327,3.7407641212130973,0.4365000579428693,2.2369456585961425
germany_dax,naive_persistence,1,0.0,,0.0,
germany_dax,lstm_gru,3,4.430931242832929,3.572825464279915,4.513641036634444,3.4156145294598277
germany_dax,linear_regression,1,7.0320790488477005,,5.431330162011633,
italy_ftse_mib,cnn1d,3,-3.378805703686765,2.1337006349135885,-3.494383333062949,2.605120881666355
italy_ftse_mib,dnfs,3,-3.3024601453146634,3.0791871825207537,-2.894798071350548,2.8502407607865408
italy_ftse_mib,naive_persistence,1,0.0,,0.0,
italy_ftse_mib,lstm_gru,3,3.2444089386963846,2.16234736242147,3.385673628257408,1.4591554884842841
italy_ftse_mib,linear_regression,1,5.559649011592146,,4.434112839070118,
japan_nikkei225,dnfs,3,-1.8983593078440177,10.022731528672123,-2.430637076343016,5.359490916859636
japan_nikkei225,cnn1d,3,-0.35721208879137806,5.183189521191918,-2.2556230805416804,3.5097247634778754
japan_nikkei225,naive_persistence,1,0.0,,0.0,
japan_nikkei225,lstm_gru,3,0.7162334410041794,1.255267590476055,0.8606393679682204,0.9081542467942987
japan_nikkei225,linear_regression,1,6.848758612515479,,4.798868197897811,
uk_ftse100,cnn1d,3,-18.14471676157586,11.523768302393771,-16.582315642369625,10.3026694073456
uk_ftse100,dnfs,3,-8.572437150672085,1.4571819619578221,-9.305827490660041,1.2001454137446181
uk_ftse100,lstm_gru,3,-2.774455017852858,2.1364485380527234,-2.967191011781743,2.2766081025602563
uk_ftse100,naive_persistence,1,0.0,,0.0,
uk_ftse100,linear_regression,1,7.341654054952602,,7.106150803403949,
us_sp500,dnfs,3,-2.1742901663371343,8.174121717607598,-3.065637717123122,6.612553848959289
us_sp500,naive_persistence,1,0.0,,0.0,
us_sp500,cnn1d,3,0.5934239322516341,3.8457627151737954,1.0130667123551003,3.7500108626095177
us_sp500,lstm_gru,3,2.755953199583456,2.0359630623062435,2.249247182978829,1.5119981806693297
us_sp500,linear_regression,1,4.676174699865496,,3.4400118910584574,
