market,model,seed,close_price_rmse,close_rmse,indicator_price_rmse,indicator_rmse,price_rmse_delta,price_rmse_delta_pct,rmse_delta,rmse_delta_pct
canada_tsx,lstm_gru,1,626.0084424410556,0.0238928161870996,662.6789504690172,0.0246010814733646,36.670508027961546,5.857829630055573,0.0007082652862650009,2.9643440970655153
canada_tsx,dnfs,1,733.99087005606,0.0268998964330485,629.913487795638,0.0243583907311236,-104.07738226042193,-14.17965624728722,-0.0025415057019248996,-9.448012962616739
canada_tsx,cnn1d,1,738.8349382183845,0.0279394107983898,626.0386628640314,0.0229562310258921,-112.79627535435316,-15.266776044233698,-0.0049831797724976985,-17.83566521304339
canada_tsx,lstm_gru,42,654.8453416071571,0.0247326435941074,640.2440820803837,0.0240088512741748,-14.601259526773447,-2.229726410046415,-0.0007237923199326021,-2.9264656532916966
canada_tsx,naive_persistence,42,669.2528395321609,0.0250526248331425,669.2528395321609,0.0250526248331425,0.0,0.0,0.0,0.0
canada_tsx,cnn1d,42,671.7332549661172,0.025832263633742,604.8669047869633,0.0226283269199993,-66.86635017915387,-9.954301009338396,-0.0032039367137427013,-12.402849239885162
canada_tsx,dnfs,42,686.5758480941516,0.025529710197796,634.4891641438113,0.0237786042087602,-52.08668395034033,-7.586442793600507,-0.0017511059890358005,-6.859090743564237
canada_tsx,linear_regression,42,836.5252712415527,0.031496645478721,907.724102035156,0.0341193481356229,71.19883079360329,8.511258803685815,0.0026227026569019055,8.326926937898172
canada_tsx,lstm_gru,2026,679.3427882334406,0.025319518989419,677.3100750868849,0.0257125801383287,-2.032713146555693,-0.29921759408700715,0.00039306114890970065,1.5524036972185786
canada_tsx,cnn1d,2026,709.9992007732958,0.0279313377553587,638.8304573895084,0.0236637323911372,-71.16874338378739,-10.023777957253182,-0.004267605364221501,-15.278915036580193
canada_tsx,dnfs,2026,724.4016459145728,0.0268538873731275,657.3056947635253,0.024675733171072,-67.09595115104753,-9.262258241605378,-0.0021781542020555024,-8.111131814141613
france_cac40,lstm_gru,1,231.7208690163302,0.0301924690661001,241.39757636193235,0.0314437043598918,9.676707345602154,4.176018925995052,0.0012512352937916991,4.1441966572935165
france_cac40,dnfs,1,235.4866322949644,0.0306399435606207,232.9333967285401,0.030356070893214,-2.55323556642432,-1.084238006013948,-0.00028387266740669687,-0.9264790806323085
france_cac40,cnn1d,1,247.22992678656644,0.032115768791375,253.68138438395013,0.0328821065818862,6.451457597383694,2.609497030249593,0.000766337790511197,2.386172959113482
france_cac40,naive_persistence,42,229.8224888051201,0.0298965230619803,229.8224888051201,0.0298965230619803,0.0,0.0,0.0,0.0
france_cac40,dnfs,42,235.1515492108961,0.0307030431354184,233.31925547583137,0.0304018175018226,-1.8322937350647237,-0.7791969651968688,-0.000301225633595803,-0.9810937380611477
france_cac40,lstm_gru,42,240.44203504628803,0.0313155430422011,242.78014716415305,0.0316426180986172,2.3381121178650233,0.9724223625935074,0.000327075056416104,1.0444495756478973
france_cac40,cnn1d,42,248.25164036271136,0.0324181730110317,248.64864509887687,0.0327521446591011,0.39700473616551335,0.15992028716727283,0.0003339716480693991,1.0301988577695316
france_cac40,linear_regression,42,249.59122144035516,0.0326660495910028,248.43152307216715,0.0324892673667796,-1.1596983681880033,-0.4646390852593093,-0.0001767822242231959,-0.5411802970870618
france_cac40,dnfs,2026,233.0677098892708,0.0302940994425977,229.84512777684915,0.0298329026789341,-3.222582112421634,-1.382680644158157,-0.00046119676366359816,-1.5223979987835243
france_cac40,lstm_gru,2026,233.79231148344488,0.0304375629596007,246.1735201265969,0.0320029861857843,12.381208643152036,5.295815146610912,0.001565423226183603,5.1430636160370815
france_cac40,cnn1d,2026,257.11263466359446,0.0335560046000867,234.99823806651585,0.0309059367263862,-22.11439659707861,-8.601054018995619,-0.0026500678737005033,-7.89744758138952
germany_dax,dnfs,1,601.07710527758,0.0291086648180104,593.6550578205766,0.0288373385332934,-7.422047457003373,-1.234791242560443,-0.0002713262847169988,-0.9321151843045756
germany_dax,lstm_gru,1,604.7015082340985,0.0294058423886393,650.7845664290876,0.0317443933517614,46.08305819498912,7.620794320418489,0.002338550963122101,7.952674615523278
germany_dax,cnn1d,1,680.1351424811578,0.0331745403365412,700.2265355678566,0.0339682031432791,20.09139308669876,2.954029549686938,0.0007936628067378992,2.3923852408700688
germany_dax,naive_persistence,42,609.5817165764009,0.0294019066592701,609.5817165764009,0.0294019066592701,0.0,0.0,0.0,0.0
germany_dax,lstm_gru,42,620.7604877506537,0.0301217120910029,624.3003193129758,0.0304596588629901,3.5398315623220924,0.5702411207177167,0.00033794677198719855,1.1219374614769668
germany_dax,cnn1d,42,634.946155442521,0.0309403401238565,607.9768030860163,0.0303207469140759,-26.969352356504714,-4.2475022685519885,-0.0006195932097806008,-2.002541689264962
germany_dax,linear_regression,42,637.7239648888628,0.0309129697334225,682.5692182132934,0.0325919551825274,44.84525332443059,7.0320790488477005,0.0016789854491049035,5.431330162011633
germany_dax,dnfs,42,645.369531429437,0.0310582707886293,650.4552888591878,0.0313018518122536,5.085757429750856,0.7880380436439801,0.00024358102362430356,0.7842710409797853
germany_dax,lstm_gru,2026,602.0588210583535,0.0293052325078655,632.7744068564955,0.0306140953405822,30.715585798142,5.101758287362581,0.0013088628327166986,4.466311032903086
germany_dax,cnn1d,2026,622.3452344177238,0.0303087982518501,629.2484485523988,0.0305875351220896,6.903214134675068,1.1092258368675108,0.00027873687023950017,0.919656622223501
germany_dax,dnfs,2026,642.0629066374485,0.0307339467045533,571.6188203932863,0.027450467851428,-70.44408624416212,-10.971524054097015,-0.003283478853125299,-10.683557450949976
italy_ftse_mib,lstm_gru,1,1283.3404943852788,0.03585531284936,1356.995464799321,0.0376712740468866,73.65497041404228,5.73931631833398,0.001815961197526604,5.064692100599028
italy_ftse_mib,cnn1d,1,1394.5130798753123,0.0384205883083167,1376.9218812872523,0.0380903344967035,-17.591198588060024,-1.2614581277095591,-0.0003302538116131959,-0.8595751032310653
italy_ftse_mib,dnfs,1,1398.8495781210254,0.039364603447998,1316.9289486364105,0.037577914098185,-81.92062948461489,-5.856285819855843,-0.001786689349812999,-4.538822173512499
italy_ftse_mib,naive_persistence,42,1228.93404052821,0.0336292035728785,1228.93404052821,0.0336292035728785,0.0,0.0,0.0,0.0
italy_ftse_mib,lstm_gru,42,1241.0405205126444,0.0344189381385357,1264.7614578882026,0.0353371838921718,23.72093737555815,1.911374929624344,0.000918245753636103,2.6678503268757967
italy_ftse_mib,dnfs,42,1270.5225748656153,0.0357660096288009,1272.0072050980682,0.0359077774981276,1.4846302324529006,0.11685193650415317,0.00014176786932669494,0.39637597483767123
italy_ftse_mib,cnn1d,42,1372.2559362133895,0.0376359366224767,1326.333841475382,0.0362980508379378,-45.922094738007445,-3.3464671950864444,-0.0013378857845388961,-3.5548093248193333
italy_ftse_mib,linear_regression,42,1448.832487540551,0.0386673652852408,1529.3824886137252,0.0403819198938838,80.55000107317414,5.559649011592146,0.0017145546086430041,4.434112839070118
italy_ftse_mib,lstm_gru,2026,1269.9302958839585,0.0349963124256097,1296.377045986211,0.0358447904812171,26.44675010225251,2.0825355681308286,0.0008484780556074004,2.4244784572974
italy_ftse_mib,dnfs,2026,1425.6032834161454,0.0401576481881525,1366.1849005113595,0.0383337086832487,-59.41838290478586,-4.1679465525923,-0.001823939504903796,-4.541948015376815
italy_ftse_mib,cnn1d,2026,1425.6751516596507,0.0399569368880781,1346.8568179728225,0.0375320440589329,-78.81833368682828,-5.528491788264292,-0.002424892829145202,-6.068765571138447
japan_nikkei225,cnn1d,1,1795.7859088040134,0.043069003016237,1867.478494847641,0.0434550968790369,71.69258604362767,3.992267992089027,0.00038609386279989805,0.8964541451176402
japan_nikkei225,lstm_gru,1,1813.198845525756,0.0423041624363901,1827.1259980369896,0.0429470364281533,13.927152511233544,0.768098465626103,0.0006428739917632015,1.5196471333756993
japan_nikkei225,dnfs,1,1832.060033551812,0.0436856261479893,1896.6345481980277,0.0434150069356747,64.57451464621568,3.5246942492940674,-0.0002706192123145962,-0.6194696887206042
japan_nikkei225,cnn1d,42,1839.010836315528,0.0428476450120859,1857.925454067908,0.0421510910275444,18.91461775238008,1.0285212777906008,-0.0006965539845414995,-1.6256529019156705
japan_nikkei225,naive_persistence,42,1858.500972939349,0.0431040308498198,1858.500972939349,0.0431040308498198,0.0,0.0,0.0,0.0
japan_nikkei225,lstm_gru,42,1874.313458342241,0.0431756119875157,1863.7392791183177,0.0430999328971527,-10.574179223923238,-0.5641627966154443,-7.567909036299697e-05,-0.17528203279406834
japan_nikkei225,dnfs,42,1890.170266845862,0.0446070144913824,1970.396261692949,0.0454048603172973,80.22599484708712,4.24437926330101,0.0007978458259148974,1.7886106815533074
japan_nikkei225,linear_regression,42,2013.052674608614,0.0451696818392481,2150.9217930353448,0.0473373153361234,137.86911842673067,6.848758612515479,0.0021676334968753,4.798868197897811
japan_nikkei225,cnn1d,2026,1832.978475980694,0.0438284924899925,1721.305627236011,0.0411822725349796,-111.67284874468282,-6.092425536253762,-0.0026462199550129004,-6.037670484827012
japan_nikkei225,lstm_gru,2026,1843.3824816644624,0.043263740614393,1879.2319326059355,0.0437991523357163,35.84945094147315,1.94476465400188,0.0005354117213233062,1.2375530033230302
japan_nikkei225,dnfs,2026,2166.3811712170063,0.0482054182107676,1874.696329640604,0.0441267326021877,-291.6848415764023,-13.46415143612713,-0.0040786856085799,-8.46105222186175
uk_ftse100,lstm_gru,1,213.3161527011281,0.0244679405428791,211.94797853384725,0.0243008828204823,-1.3681741672808414,-0.6413832942120214,-0.00016705772239680033,-0.682761681981523
uk_ftse100,dnfs,1,225.7078407961245,0.0261464955111555,205.17635089320504,0.0237897631880603,-20.531489902919446,-9.096489439844033,-0.0023567323230952,-9.01356865240197
uk_ftse100,cnn1d,1,302.2554717496455,0.0331903836265528,210.67545353686037,0.0240454811368547,-91.58001821278512,-30.29887852241753,-0.009144902489698098,-27.552867699854
uk_ftse100,naive_persistence,42,192.61581506645783,0.0222992503606793,192.61581506645783,0.0222992503606793,0.0,0.0,0.0,0.0
uk_ftse100,lstm_gru,42,208.93467823163607,0.024155660274651,198.66707564931457,0.0228908949192731,-10.267602582321501,-4.914264433852523,-0.0012647653553778983,-5.235896435855846
uk_ftse100,dnfs,42,226.512878580429,0.0260387337487429,210.82526109787048,0.023883038000177,-15.687617482558522,-6.925706644528931,-0.0021556957485658994,-8.278804066921927
uk_ftse100,cnn1d,42,231.21057598160752,0.0264248484311515,214.15477186391664,0.0245455031600671,-17.055804117690883,-7.376740464955049,-0.001879345271084399,-7.112038034885726
uk_ftse100,linear_regression,42,240.17947754143268,0.0271999253947373,257.81262389351724,0.0291327931117007,17.633146352084566,7.341654054952602,0.0019328677169633997,7.106150803403949
uk_ftse100,lstm_gru,2026,218.46809915332756,0.0250352589186256,212.42151972238344,0.0242884784457052,-6.046579430944121,-2.767717325494029,-0.0007467804729203997,-2.982914917507859
uk_ftse100,dnfs,2026,237.8492998538633,0.0273988005327326,214.78953583189943,0.0244876479052184,-23.059764021963872,-9.695115367643291,-0.002911152627514197,-10.625109752656224
uk_ftse100,cnn1d,2026,278.06396431106526,0.0309351008694633,231.46452782532936,0.0262694562134299,-46.59943648573591,-16.758531297355,-0.004665644656033401,-15.082041192369148
us_sp500,cnn1d,1,143.31336566790586,0.0253943404135046,150.41906533993168,0.0267434383635479,7.105699672025821,4.9581556046151105,0.0013490979500433015,5.312592995429237
us_sp500,lstm_gru,1,144.4037721110882,0.0255884996299693,146.5695066791498,0.025917263914823,2.165734568061623,1.4997770047139405,0.0003287642848537019,1.2848126682216745
us_sp500,dnfs,1,145.4705589562806,0.0259765574217648,156.0021020899566,0.0271636542605175,10.531543133675996,7.2396388721109695,0.0011870968387526978,4.569877445569724
us_sp500,lstm_gru,42,141.9604107180036,0.0251616538750101,149.2074743253375,0.0261660659903062,7.247063607333899,5.104989180208689,0.0010044121152960987,3.9918366268190923
us_sp500,cnn1d,42,147.01623842752156,0.0258862936262932,145.72159338217148,0.0257072715637748,-1.2946450453500802,-0.880613637784193,-0.0001790220625183976,-0.6915708563877275
us_sp500,linear_regression,42,149.22330723794497,0.0261997937562241,156.2012497773083,0.027101069776871,6.97794253936334,4.676174699865496,0.0009012760206469003,3.4400118910584574
us_sp500,naive_persistence,42,150.83363663509704,0.0265874028090373,150.83363663509704,0.0265874028090373,0.0,0.0,0.0,0.0
us_sp500,dnfs,42,152.66352627794728,0.027074803494355,143.06116964393547,0.0252130436943806,-9.602356634011812,-6.289882638063301,-0.0018617597999744002,-6.8763557244748625
us_sp500,lstm_gru,2026,142.24214426205097,0.0250882272235704,144.6077639949605,0.0254572981908961,2.365619732909522,1.6630934138277398,0.0003690709673257013,1.4710922538957196
us_sp500,cnn1d,2026,145.63141330093498,0.0257355489101499,142.2858662849125,0.0253284583351598,-3.3455470160224934,-2.297270170076015,-0.0004070905749900995,-1.5818220019762086
us_sp500,dnfs,2026,152.9625096107983,0.0267856103101362,141.53219222606373,0.0249399652765242,-11.430317384734565,-7.472626733059071,-0.0018456450336119985,-6.890434872464228
