usage_regularization,seed,price_rmse,price_rmse_delta_vs_0,price_rmse_delta_vs_1e-3
0,1,93.3252523153846,0.0,-1.169104739208592
0,7,113.14385601680615,0.0,7.542052813672214
0,42,101.17421932582933,0.0,0.14097318512840218
0,123,110.45773060971554,0.0,3.180316345247576
0,2026,101.36295035110962,0.0,5.845025157784775
1e-3,1,94.4943570545932,1.169104739208592,0.0
1e-3,7,105.60180320313394,-7.542052813672214,0.0
1e-3,42,101.03324614070092,-0.14097318512840218,0.0
1e-3,123,107.27741426446796,-3.180316345247576,0.0
1e-3,2026,95.51792519332484,-5.845025157784775,0.0
1e-4,1,93.48726714831452,0.1620148329299127,-1.0070899062786793
1e-4,7,114.81927902527866,1.6754230084725066,9.21747582214472
1e-4,42,101.9079089433672,0.7336896175378769,0.874662802666279
1e-4,123,110.60613826031528,0.14840765059973648,3.3287239958473123
1e-4,2026,101.2414750130973,-0.12147533801231702,5.723549819772458
3e-3,1,95.17193782641702,1.846685511032419,0.6775807718238269
3e-3,7,105.5325087798685,-7.611347236937661,-0.06929442326544688
3e-3,42,100.63047806536234,-0.5437412604669873,-0.40276807533858516
3e-3,123,118.61543750267758,8.15770689296204,11.338023238209615
3e-3,2026,96.83171554309908,-4.531234808010538,1.3137903497742371
3e-4,1,93.92899481560892,0.603742500224314,-0.5653622389842781
3e-4,7,114.33536146719786,1.191505450391702,8.733558264063916
3e-4,42,100.6750280951516,-0.49919123067772375,-0.3582180455493216
3e-4,123,110.3178104546288,-0.13992015508674172,3.040396190160834
3e-4,2026,100.90925708401134,-0.4536932670982736,5.3913318906865015
