model,price_rmse,price_mae,rmse,mae,price_rmse_delta_vs_persistence_pct,rmse_delta_vs_persistence_pct,folds,forecast_count,epochs_ran,training_time_seconds,inference_time_seconds
naive_persistence,96.58449377616964,72.24299454785552,0.0374572008267641,0.0278712086110619,0.0,0.0,38,741,0,0.0,0.0
cnn_lstm,98.93782714049014,74.33614276563826,0.0383776280886826,0.0286853729209959,2.436554018468278,2.45727721667027,38,741,633,278.18853679310996,0.9656334968167356
lstm_gru,99.34427700269264,74.52960685287364,0.0382760229585724,0.0286977488970816,2.8573771198911864,2.186020614821905,38,741,567,605.1558234580443,3.0305093155184295
lstm,99.74992632322154,74.51391557905336,0.0384335252222241,0.0286701324122649,3.277371370178384,2.6065065565774943,38,741,518,179.2991917040199,0.8534342481580097
mlp,100.56104256997786,76.18504077916491,0.0389834043796578,0.0293452497375443,4.117171026462797,4.07452644406677,38,741,487,75.08047916798387,0.6554712118813768
rnn,100.76847488194517,74.56516470689161,0.0386624778535054,0.0287284987978731,4.331938743160703,3.2177445194465815,38,741,553,312.1991939190193,2.4998208140023053
cnn1d,100.84163508496488,74.62380531271037,0.038715186623066,0.0287084867974305,4.407686101933692,3.358461840541594,38,741,896,159.6438253340311,0.6522047481266782
gru,101.03339814060566,74.7124299918199,0.0389200127536019,0.0288814969399484,4.606230452215405,3.905288955261673,38,741,502,478.65446491594776,2.651402697112644
linear_regression,102.3914014449719,76.90283063601153,0.0385385451307235,0.0291786835207627,6.012256669543171,2.8868796388724194,38,741,0,0.5273712060879916,0.0575901373522356
dnfs,106.9239046571366,78.97179645107865,0.0403807580885581,0.0300627676021573,10.70504226581971,7.8050607019867035,38,741,586,106.0073732890014,0.7232297534064855
