horizon_step,model,forecast_count,price_rmse,price_mae,rmse,mae
1,linear_regression,38,27.95291998058389,22.10075452579425,0.0106310086588806,0.0083763024671423
2,mlp,37,44.927250227150715,35.437052673900276,0.0176021007488964,0.0137793896049595
3,mlp,37,49.11409188470759,39.917204350102665,0.0194230970645424,0.0156767507647204
4,mlp,37,55.63397954068632,45.65457075336472,0.0218077298195622,0.0178685585248084
5,cnn1d,37,68.81713152442131,54.13200902221048,0.0271016959848667,0.0209331746230974
6,mlp,37,79.47545186939035,62.1835157531222,0.0314571541375468,0.0239182975730247
7,mlp,37,79.1408390087815,66.25602340777776,0.0309573271742065,0.0253185884919918
8,mlp,37,77.02383452142196,62.073549168652264,0.030779419446955,0.0240886149937438
9,naive_persistence,37,75.14652283201825,59.303760425464525,0.0295839590339087,0.0230955480145448
10,naive_persistence,37,84.39276203180115,70.94889872782939,0.0325339629763589,0.0274891075772972
11,naive_persistence,37,99.67254395228176,76.25618599556587,0.0385957880876822,0.0295572518219865
12,naive_persistence,37,109.84229353707651,86.78889094172297,0.0428870773815999,0.033704657576965
13,naive_persistence,37,109.40901692844572,84.39159496410473,0.0427533220694077,0.0328383297869772
14,naive_persistence,37,112.22378496973626,80.32082717483108,0.0436453236510092,0.0312888510051381
15,naive_persistence,37,114.13246763874965,87.63432023331926,0.0442710523396006,0.034177215478994
16,naive_persistence,37,121.44620072719631,97.9878028663429,0.0463255613755699,0.0374367987264631
17,naive_persistence,37,124.20113588068524,98.07376016152872,0.0475427890270149,0.0375647484641839
18,naive_persistence,37,126.17983999212736,98.98536805848818,0.0498278223878295,0.0384379531782517
19,naive_persistence,37,131.9924073009782,107.69160420185813,0.0513085232829044,0.041171183009008
20,naive_persistence,37,133.75027549774717,107.11836201435813,0.0508658320749478,0.0407503582646428
